,item,Date,Price,Item,Location,Details
1,"['68330', 'Feb', 'rent']",2024-02-11,68330,Feb,rent,
2,"['770', 'charge']",2024-02-11,770,charge,,
3,"['68330', 'March', 'rent']",2024-02-11,68330,March,rent,
4,"['770', 'charge']",2024-02-11,770,charge,,
5,"['880', 'lunch', 'torisho']",2024-02-11,880,lunch,torisho,
6,"['3580', 'plants', 'rack', 'amazon']",2024-02-11,3580,plants,rack,amazon
7,"['7980', 'air', 'purifier', 'amazon']",2024-02-11,7980,air,purifier,amazon
9,"['750', 'McDonald’s']",2024-02-12,750,McDonald’s,,
10,"['1814', 'groceries', 'top']",2024-02-12,1814,groceries,top,
12,"['283', 'snacks', 'famima']",2024-02-13,283,snacks,famima,
13,"['1900', 'shoes', 'workman']",2024-02-13,1900,shoes,workman,
14,"['540', 'dinner', 'donmaru']",2024-02-13,540,dinner,donmaru,
15,"['300', 'groceries', 'donmaru']",2024-02-13,300,groceries,donmaru,
16,"['200', 'snacks', 'summit']",2024-02-13,200,snacks,summit,
17,"['765', 'groceries', 'summit']",2024-02-13,765,groceries,summit,
19,['Nothing'],2024-02-14,Nothing,,,
21,"['1900', 'shoes', 'workman']",2024-02-15,1900,shoes,workman,
23,"['800', 'Coffee', 'donki']",2024-02-16,800,Coffee,donki,
25,"['3265', 'groceries', 'summit']",2024-02-17,3265,groceries,summit,
27,"['330', 'household', 'can', 'do']",2024-02-18,330,household,can,do
28,"['3051', 'groceries', 'summit']",2024-02-18,3051,groceries,summit,
29,"['875', 'household', 'welpark']",2024-02-18,875,household,welpark,
31,"['4300', 'ear', 'doc', 'Takiguchi']",2024-02-19,4300,ear,doc,Takiguchi
33,"['1086', 'snacks', 'welpark']",2024-02-20,1086,snacks,welpark,
34,"['760', 'meds', 'Aisei']",2024-02-20,760,meds,Aisei,
36,"['328', 'snacks', 'misdo']",2024-02-21,328,snacks,misdo,
38,"['138', 'snack', 'famima']",2024-02-22,138,snack,famima,
39,"['800', 'beans', 'mokajava']",2024-02-22,800,beans,mokajava,
41,"['3387', 'groceries', 'summit']",2024-02-23,3387,groceries,summit,
43,"['1480', 'snacks', 'maruetsu']",2024-02-24,1480,snacks,maruetsu,
44,"['1990', 'hat', 'uniqlo']",2024-02-24,1990,hat,uniqlo,
46,"['3439', 'desklight', 'amazon']",2024-02-25,3439,desklight,amazon,
48,"['1950', 'doc', 'Takiguchi']",2024-02-26,1950,doc,Takiguchi,
49,"['1211', 'groceries', 'summit']",2024-02-26,1211,groceries,summit,
51,"['520', 'lunch', 'torisho']",2024-02-27,520,lunch,torisho,
52,"['68330', 'rent', 'march']",2024-02-27,68330,rent,march,
54,"['540', 'meds', 'rakuten', 'yakkyoku']",2024-02-28,540,meds,rakuten,yakkyoku
55,"['178', 'snacks', 'Lawson']",2024-02-28,178,snacks,Lawson,
56,"['422', 'snacks', 'summit']",2024-02-28,422,snacks,summit,
58,"['840', 'dinner', 'donmaru']",2024-02-29,840,dinner,donmaru,
60,"['470', 'snacks', 'summit']",2024-03-01,470,snacks,summit,
62,"['1140', 'lunch', 'maruetsu']",2024-03-02,1140,lunch,maruetsu,
63,"['260', 'groceries', 'summit']",2024-03-02,260,groceries,summit,
64,"['325', 'snacks', 'summit']",2024-03-02,325,snacks,summit,
66,"['1050', 'ramen', 'musashi']",2024-03-03,1050,ramen,musashi,
67,"['700', '100g', 'beans', 'sugar', 'time', 'coffee']",2024-03-03,700,100g,beans,sugar
68,"['400', 'coffee', 'sugar', 'time', 'coffee']",2024-03-03,400,coffee,sugar,time
69,"['1183', 'groceries', 'summit']",2024-03-03,1183,groceries,summit,
72,"['150', 'snacks', 'crimson', 'store']",2024-03-05,150,snacks,crimson,store
73,"['298', 'snacks', 'famima']",2024-03-05,298,snacks,famima,
75,"['965', 'lunch', 'Todai']",2024-03-06,965,lunch,Todai,
76,"['482', 'snacks', 'welpark']",2024-03-06,482,snacks,welpark,
78,"['Nothing?', 'I', 'think?']",2024-03-07,Nothing?,I,think?,
80,"['1100', ' lunch', ' maruetsu']",2024-03-08,1100, lunch, maruetsu,
81,"['1000', ' social', ' maruetsu']",2024-03-08,1000, social, maruetsu,
82,"['2100', ' dinner', ' gyoza place']",2024-03-08,2100, dinner, gyoza place,
83,"['1600', ' transportation', ' taxi from Noborito']",2024-03-08,1600, transportation, taxi from Noborito,
85,"['3448', ' groceries', ' summit']",2024-03-09,3448, groceries, summit,
86,"['2300', ' groceries', ' summit']",2024-03-09,2300, groceries, summit,
87,"['255', ' snacks', ' summit']",2024-03-09,255, snacks, summit,
89,"['1210', ' coffee supplies', ' amazon']",2024-03-10,1210, coffee supplies, amazon,
91,"['190', ' snacks', ' crimson store']",2024-03-11,190, snacks, crimson store,
93,"['170', ' snacks', ' crimson store']",2024-03-12,170, snacks, crimson store,
95,"['686', ' household', ' welpark']",2024-03-13,686, household, welpark,
96,"['2178', ' household', ' welpark', ' Allergy meds']",2024-03-13,2178, household, welpark, Allergy meds
97,"['2000', ' snacks', ' summit']",2024-03-13,2000, snacks, summit,
98,"['3582', ' groceries', ' summit']",2024-03-13,3582, groceries, summit,
100,"['150', ' snacks', ' crimson store']",2024-03-14,150, snacks, crimson store,
102,"['4100 social', ' Yurakucho', ' dinner with liane aya']",2024-03-15,4100 social, Yurakucho, dinner with liane aya,
103,"['1000', ' social', ' 300yen bar', ' drinks']",2024-03-15,1000, social, 300yen bar, drinks
105,"['1800', ' coffee beans', ' Muto']",2024-03-16,1800, coffee beans, Muto,
106,"['3400', ' haircut', ' chill chair']",2024-03-16,3400, haircut, chill chair,
107,"['5131', ' groceries', ' Asian super']",2024-03-16,5131, groceries, Asian super,
109,"['268133', ' upskilling', ' lonely octopus']",2024-03-17,268133, upskilling, lonely octopus,
111,"['150', ' snacks', ' crimson store']",2024-03-18,150, snacks, crimson store,
112,"['987', ' Hair oil', ' ainz tulpe']",2024-03-18,987, Hair oil, ainz tulpe,
113,"['368', ' Snacks', ' Lawson']",2024-03-18,368, Snacks, Lawson,
115,['Nothing?'],2024-03-19,Nothing?,,,
117,"['400', ' groceries', ' summit']",2024-03-20,400, groceries, summit,
119,"['1430', ' social gift', ' Amazon']",2024-03-21,1430, social gift, Amazon,
121,"['138', ' snacks', ' lawson']",2024-03-22,138, snacks, lawson,
122,"['895', ' groceries', ' summit']",2024-03-22,895, groceries, summit,
124,"['3500', ' snacks', ' summit']",2024-03-23,3500, snacks, summit,
125,"['1013', ' groceries', ' summit']",2024-03-23,1013, groceries, summit,
127,"['1760', ' dinner', ' hamasushi']",2024-03-24,1760, dinner, hamasushi,
