,item,Date,Price,Item,Location,Details
1,"['2000', ' coffee beans', ' grocery store']",2024-05-22,2000, coffee beans, grocery store,
2,"['3000', ' balloons', ' convenience store']",2024-05-22,3000, balloons, convenience store,
3,"['5000', ' sandwiches', ' cafe']",2024-05-22,5000, sandwiches, cafe,
4,"['10000', ' invisible cloak', ' magic shop']",2024-05-22,10000, invisible cloak, magic shop,
5,"['1500', ' unicorn tears', ' fantasy bazaar']",2024-05-22,1500, unicorn tears, fantasy bazaar,
6,"['2500', ' hoverboard', ' gadget store']",2024-05-22,2500, hoverboard, gadget store,
8,"['1000', ' drinks', ' bar']",2024-05-23,1000, drinks, bar,
9,"['2000', ' pizza', ' restaurant']",2024-05-23,2000, pizza, restaurant,
10,"['5000', ' dragon eggs', ' exotic pets']",2024-05-23,5000, dragon eggs, exotic pets,
11,"['3000', ' time machine manual', ' bookstore']",2024-05-23,3000, time machine manual, bookstore,
12,"['4000', ' enchanted sword', ' armory']",2024-05-23,4000, enchanted sword, armory,
14,"['1500', ' snacks', ' vending machine']",2024-05-24,1500, snacks, vending machine,
15,"['3500', ' groceries', ' supermarket']",2024-05-24,3500, groceries, supermarket,
16,"['2500', ' shrinking potion', ' apothecary']",2024-05-24,2500, shrinking potion, apothecary,
17,"['5000', ' magic wand', ' wizard shop']",2024-05-24,5000, magic wand, wizard shop,
18,"['7000', ' flying broomstick', ' broom emporium']",2024-05-24,7000, flying broomstick, broom emporium,
20,"['2000', ' elf shoes', ' fantasy footwear']",2024-05-25,2000, elf shoes, fantasy footwear,
21,"['1500', ' wizard hat', ' costume store']",2024-05-25,1500, wizard hat, costume store,
22,"['3000', ' teleportation stone', ' mystic market']",2024-05-25,3000, teleportation stone, mystic market,
23,"['1000', ' love potion', ' potion shop']",2024-05-25,1000, love potion, potion shop,
24,"['2000', ' anti-gravity boots', ' tech hub']",2024-05-25,2000, anti-gravity boots, tech hub,
26,"['3000', ' robot butler', ' gadget shop']",2024-05-26,3000, robot butler, gadget shop,
27,"['2500', ' holographic projector', ' tech store']",2024-05-26,2500, holographic projector, tech store,
28,"['4000', ' unicorn horn', ' mythical goods']",2024-05-26,4000, unicorn horn, mythical goods,
29,"['2000', ' talking mirror', ' enchanted items']",2024-05-26,2000, talking mirror, enchanted items,
30,"['5000', ' mermaid scales', ' oceanic treasures']",2024-05-26,5000, mermaid scales, oceanic treasures,
32,"['3500', ' phoenix feathers', ' rare finds']",2024-05-27,3500, phoenix feathers, rare finds,
33,"['2500', ' alien artifact', ' space trader']",2024-05-27,2500, alien artifact, space trader,
34,"['1500', ' shrinking device', ' invention lab']",2024-05-27,1500, shrinking device, invention lab,
35,"['4000', ' portal gun', ' sci-fi depot']",2024-05-27,4000, portal gun, sci-fi depot,
36,"['3000', ' enchanted apples', ' fairy orchard']",2024-05-27,3000, enchanted apples, fairy orchard,
38,"['2000', ' dragon scale armor', ' knight supply']",2024-05-28,2000, dragon scale armor, knight supply,
39,"['1000', ' invisibility serum', ' secret lab']",2024-05-28,1000, invisibility serum, secret lab,
40,"['5000', ' teleportation pad', ' future tech']",2024-05-28,5000, teleportation pad, future tech,
41,"['3500', ' magic beans', ' beanstalk shop']",2024-05-28,3500, magic beans, beanstalk shop,
42,"['4000', ' enchanted harp', ' musical wonders']",2024-05-28,4000, enchanted harp, musical wonders,
